u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Label
-10.5441,-10.5305,-10.2599,-7.5111,-5.6776,-4.6059,2.9843,3.0223,3.0249,3.4445,5.0794,5.0977,D05017_P01AB01
-5.677,-4.6075,-4.2814,-2.8827,-1.9369,-1.8249,1.0624,1.0788,1.2693,1.533,2.0596,2.5231,D08214_A01AB17
-5.6782,-4.5987,-4.2238,-2.9114,-1.9412,-1.833,1.0654,1.0804,1.2357,1.5403,2.0515,2.5201,D08214_D06BX01
-5.6829,-4.6473,-4.2425,-2.8954,-1.954,-1.8374,1.0591,1.078,1.2772,1.5349,2.0738,2.6284,D08214_G01AF01
-5.6805,-4.6084,-4.2385,-2.8971,-1.9363,-1.8249,1.0622,1.0797,1.2761,1.536,2.0612,2.5241,D08214_J01XD01
-5.6776,-4.6061,-4.2405,-2.901,-1.9419,-1.8299,1.0663,1.0857,1.2454,1.5389,2.0533,2.525,D08214_P01AB01
-1.5158,-1.1382,-0.8938,-0.8906,-0.8739,-0.6025,0.518,0.5186,0.5256,0.5306,0.6551,1.0899,D00282_A01AB18
-1.518,-1.1342,-0.8936,-0.8895,-0.8858,-0.6034,0.5183,0.5189,0.5249,0.525,0.6587,1.0925,D00282_D01AC01
-1.5172,-1.1371,-0.8935,-0.8832,-0.8687,-0.6053,0.5188,0.5193,0.5193,0.527,0.6526,1.0887,D00282_G01AF02
-6.0015,-5.7686,-5.2563,-4.6316,-4.6274,-4.2093,2.0854,2.2143,2.2532,2.4699,2.7795,2.9063,D07689_A01AB21
-5.9981,-5.7671,-5.251,-4.6351,-4.6259,-4.21,2.0863,2.2192,2.256,2.4644,2.7838,2.9031,D07689_D06AA02
-5.9995,-5.7734,-5.2514,-4.6355,-4.6231,-4.2098,2.0849,2.2176,2.2618,2.467,2.7821,2.9031,D07689_J01AA03
-5.9999,-5.7516,-5.2496,-4.6348,-4.6175,-4.2095,2.089,2.2225,2.2482,2.4791,2.7702,2.902,D07689_S01AA02
-6.0011,-5.778,-5.2585,-4.6336,-4.6275,-4.2076,2.0878,2.2115,2.2744,2.4514,2.7842,2.9053,D02255_A01AB21
-6.0012,-5.7775,-5.2587,-4.6341,-4.6288,-4.2082,2.088,2.2115,2.2865,2.4504,2.786,2.9056,D02255_D06AA02
-6.002,-5.7683,-5.259,-4.629,-4.6267,-4.2077,2.0839,2.2121,2.2388,2.455,2.7766,2.9049,D02255_J01AA03
-5.9994,-5.7715,-5.2583,-4.6341,-4.6312,-4.2082,2.088,2.2125,2.2835,2.4488,2.7891,2.9061,D02255_S01AA02
-6.0001,-5.7721,-5.2247,-4.6325,-4.6274,-4.2119,2.0862,2.2176,2.2555,2.4708,2.7788,2.9181,D03477_A01AB21
-6.01,-5.7633,-5.2184,-4.6309,-4.6024,-4.2121,2.0696,2.2195,2.2486,2.4854,2.7148,2.9029,D03477_D06AA02
-5.9993,-5.7713,-5.2586,-4.6341,-4.6312,-4.2079,2.088,2.2124,2.2895,2.4487,2.7904,2.9061,D03477_J01AA03
-6.0026,-5.7833,-5.259,-4.6329,-4.6234,-4.2083,2.0877,2.2105,2.2502,2.4519,2.7772,2.9054,D03477_S01AA02
-5.996,-5.7081,-5.2377,-4.607,-4.5937,-4.2069,2.2069,2.2841,2.3204,2.4827,2.9149,3.422,D07876_A01AB22
-5.9945,-5.715,-5.2384,-4.6108,-4.5905,-4.2079,2.2074,2.2693,2.3035,2.4943,2.9157,3.452,D07876_J01AA02
-5.9985,-5.7157,-5.2481,-4.6095,-4.5946,-4.2078,2.2086,2.2715,2.303,2.505,2.9165,3.4542,D00307_A01AB22
-6.0011,-5.7125,-5.2386,-4.6077,-4.5919,-4.2071,2.2105,2.2854,2.3064,2.4811,2.9156,3.4159,D00307_J01AA02
