u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Label
-9.307,-9.3069,-3.7003,-2.6282,-2.3169,-2.2351,1.2836,1.6292,2.0428,2.3745,2.9549,5.345,D07264-01
-5.4838,-5.4837,-5.4835,-5.483,-5.483,-5.4825,2.406,2.6253,2.65,2.8538,2.9039,2.9083,D07497-01
-10.7999,-10.787,-5.616,-5.2593,-4.2322,-4.0947,2.1786,2.2049,2.2639,2.6859,2.8947,5.3058,D06124-01
-5.4966,-5.4891,-5.4862,-5.4851,-5.4847,-5.4842,2.6222,2.627,2.8737,2.884,2.9092,3.0106,D07467-01
-9.3206,-9.3154,-3.1438,-2.9946,-1.9708,-1.7067,1.346,1.3658,2.3622,2.4932,2.4949,5.3369,D05275-01
-4.4157,-4.2831,-4.1546,-4.1522,-4.1493,-3.8518,1.4514,1.4943,1.5253,1.6263,2.618,3.0166,D09579-01
-6.1654,-4.6716,-4.6588,-4.6515,-4.4332,-2.897,1.438,1.456,1.4721,1.6165,1.6397,1.6543,D08923-01
-3.5371,-3.1388,-2.8878,-1.9811,-1.4505,-0.9689,0.5626,0.9969,1.4458,1.5051,1.6224,1.9764,D06218-01
-1.9162,-1.9152,-1.1323,-1.1318,-0.9925,-0.8953,0.5061,0.6184,0.7365,0.818,0.8181,1.8159,D06420-01
-4.3739,-4.0987,-3.7745,-3.5378,-3.5287,-2.1461,1.3349,1.4205,1.9795,2.1961,2.3647,2.395,D09730-01
-4.8415,-4.8202,-4.8166,-4.8016,-4.2832,-3.5347,1.5598,1.6349,1.6421,1.6511,1.8359,3.2073,D07081-01
-6.0322,-6.0266,-4.6081,-4.6009,-4.5996,-4.5936,2.2912,2.3607,2.3632,2.3819,2.6373,4.66,D08427-01
-9.6249,-8.8259,-6.1595,-4.694,-4.6855,-4.6817,1.8071,2.0913,2.5883,2.8409,4.0563,5.2646,D08588-01
-5.4959,-5.4817,-5.48,-4.1837,-3.1582,-3.1411,1.9012,1.9079,1.9688,2.0463,2.0796,2.5486,D08386-01
-9.3187,-9.3088,-5.3723,-5.3663,-5.3653,-5.3646,2.1863,2.2494,3.0648,3.4047,4.0868,5.3503,D08303-01
-6.1488,-6.1415,-6.0042,-5.5888,-4.7043,-4.7023,2.0866,2.14,2.3367,2.4125,2.5516,2.7632,D06307-01
-9.6239,-8.8267,-3.6912,-3.1015,-2.0318,-2.0098,2.3822,2.466,2.5185,2.5783,3.3459,5.2669,D05859-01
-4.2053,-3.8512,-3.5348,-3.5332,-3.3395,-3.056,1.247,1.3733,1.425,1.4262,2.0992,2.6396,D09639-01
-6.1566,-6.1539,-4.6996,-4.6992,-4.6929,-4.6916,1.5985,1.6064,1.6064,1.6237,1.6484,2.6837,D07385-01
-3.1435,-3.1304,-1.9151,-1.9136,-1.578,-1.57,0.8556,0.9103,0.9381,0.982,1.5469,1.9617,D08498-01
-4.2624,-4.0943,-3.4042,-3.3035,-2.6043,-2.2077,1.3596,1.3608,1.4036,1.6706,1.7654,3.8145,D06638-01
-2.8586,-1.9115,-1.9115,-1.0809,-0.9372,-0.8851,0.6628,0.81,0.8127,0.9736,1.2174,1.5556,D08554-01
-4.4354,-3.6434,-3.0586,-2.8008,-2.4601,-2.3216,1.2968,1.4183,1.6149,1.8311,2.1342,2.3582,D08147-01
-6.028,-4.5958,-4.5952,-4.5662,-3.8491,-1.9586,1.5474,1.5794,1.5834,1.5841,1.6494,2.2096,D09792-01
-18.0931,-18.0931,-18.0931,-18.0931,3.9741,3.9741,3.9741,3.9741,3.9741,3.9741,3.9745,3.9745,D06389-01
-6.2322,-6.0339,-4.6305,-4.5719,-3.3743,-2.159,1.614,1.7013,1.9153,1.9751,2.0082,2.1308,D08676-01
-3.1556,-3.154,-3.1521,-3.1512,-1.9335,-1.9136,1.464,1.9136,1.9264,1.9707,2.0416,2.3455,D05825-01
-9.6215,-8.8272,-1.9638,-1.9131,-1.9121,-1.2407,0.8934,1.3467,1.5111,1.6417,1.6535,5.2965,D08628-01
-10.6277,-10.5936,-10.3112,-8.2429,-5.8486,-5.5174,3.7485,3.7535,4.2441,4.2639,4.265,6.4575,D06063-01
